"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 18","15.500","16.055","16.170","15.135","3.69K","-3.75%"
"Jun 18","16.104","16.355","17.285","15.880","32.06K","-1.82%"
"May 18","16.402","16.280","16.725","16.000","6.03K","0.55%"
"Apr 18","16.312","16.470","17.200","16.140","22.11K","0.55%"
"Mar 18","16.223","16.350","16.810","16.050","2.28K","-0.62%"
"Feb 18","16.324","16.705","16.705","16.260","25.43K","-5.12%"
"Jan 18","17.204","17.155","17.525","16.905","0.54K","0.84%"
"Dec 17","17.060","16.385","17.045","15.555","3.51K","4.14%"
"Nov 17","16.382","16.990","17.305","16.285","24.25K","-1.58%"
"Oct 17","16.645","16.595","17.430","16.430","1.05K","0.23%"
"Sep 17","16.607","17.565","18.160","16.655","5.95K","-4.99%"
"Aug 17","17.480","16.635","17.600","16.090","23.43K","4.36%"
"Jul 17","16.750","16.580","16.825","15.150","3.07K","1.10%"
"Jun 17","16.568","17.300","17.695","16.330","19.66K","-4.61%"
"May 17","17.368","17.185","17.400","16.030","6.07K","1.03%"
"Apr 17","17.191","18.220","18.500","17.130","37.85K","-5.73%"
"Mar 17","18.235","18.295","18.455","16.820","5.42K","-1.00%"
"Feb 17","18.420","17.450","18.475","17.405","29.64K","5.19%"
"Jan 17","17.512","16.040","17.560","16.030","0.53K","9.89%"
"Dec 16","15.936","16.495","17.190","15.700","3.48K","-2.86%"
"Nov 16","16.406","18.000","18.800","16.255","19.28K","-7.63%"
"Oct 16","17.762","18.870","18.870","17.195","0.47K","-7.19%"
"Sep 16","19.139","18.700","20.100","18.585","3.41K","2.78%"
"Aug 16","18.622","20.510","20.750","18.505","16.16K","-8.32%"
"Jul 16","20.312","18.790","21.095","18.775","4.92K","9.31%"
"Jun 16","18.582","16.000","18.855","15.920","27.73K","16.34%"
"May 16","15.972","17.850","18.030","15.960","4.05K","-10.21%"
"Apr 16","17.789","15.020","17.990","15.015","29.27K","15.06%"
"Mar 16","15.460","14.925","16.150","14.725","8.00K","3.79%"
"Feb 16","14.896","14.245","15.785","14.235","25.17K","4.69%"
"Jan 16","14.229","14.100","14.385","13.710","0.55K","3.30%"
"Dec 15","13.775","14.040","14.605","13.635","1.83K","-1.96%"
"Nov 15","14.050","15.385","15.385","13.905","18.97K","-9.74%"
